timeseries,dataType
root.DianChang.d1.sensor1,FLOAT
root.DianChang.d1.sensor2,FLOAT
root.DianChang.d1.sensor3,FLOAT
root.DianChang.d1.sensor4,FLOAT
root.DianChang.d1.sensor5,FLOAT
root.DianChang.d1.sensor6,FLOAT
root.DianChang.d1.sensor7,FLOAT
root.DianChang.d1.sensor8,FLOAT
root.DianChang.d1.sensor9,FLOAT
root.DianChang.d1.sensor10,FLOAT
root.DianChang.d1.sensor11,FLOAT
root.DianChang.d1.sensor12,FLOAT
root.DianChang.d1.sensor13,FLOAT
root.DianChang.d1.sensor14,FLOAT
root.DianChang.d1.sensor15,FLOAT
root.DianChang.d1.sensor16,FLOAT
root.DianChang.d1.sensor17,FLOAT
root.DianChang.d1.sensor18,FLOAT
root.DianChang.d1.sensor19,FLOAT
root.DianChang.d1.sensor20,FLOAT
root.DianChang.d1.sensor21,FLOAT
root.DianChang.d1.sensor22,FLOAT
root.DianChang.d1.sensor23,FLOAT
root.DianChang.d1.sensor24,FLOAT
root.DianChang.d1.sensor25,FLOAT
root.DianChang.d1.sensor26,FLOAT
root.DianChang.d1.sensor27,FLOAT
root.DianChang.d1.sensor28,FLOAT
root.DianChang.d1.sensor29,FLOAT
root.DianChang.d1.sensor30,FLOAT
root.DianChang.d1.sensor31,FLOAT
root.DianChang.d1.sensor32,FLOAT
root.DianChang.d1.sensor33,FLOAT
root.DianChang.d1.sensor34,FLOAT
root.DianChang.d1.sensor35,FLOAT
root.DianChang.d1.sensor36,FLOAT
root.DianChang.d1.sensor37,FLOAT
root.DianChang.d1.sensor38,FLOAT
root.DianChang.d1.sensor39,FLOAT
root.DianChang.d1.sensor40,FLOAT
root.DianChang.d1.sensor41,FLOAT
root.DianChang.d1.sensor42,FLOAT
root.DianChang.d1.sensor43,FLOAT
root.DianChang.d1.sensor44,FLOAT
root.DianChang.d1.sensor45,FLOAT
root.DianChang.d1.sensor46,FLOAT
root.DianChang.d1.sensor47,FLOAT
root.DianChang.d1.sensor48,FLOAT
root.DianChang.d1.sensor49,FLOAT
root.DianChang.d1.sensor50,FLOAT
root.DianChang.d1.sensor51,FLOAT
root.DianChang.d1.sensor52,FLOAT
root.DianChang.d1.sensor53,FLOAT
root.DianChang.d1.sensor54,FLOAT
root.DianChang.d1.sensor55,FLOAT
root.DianChang.d1.sensor56,FLOAT
root.DianChang.d1.sensor57,FLOAT
root.DianChang.d1.sensor58,FLOAT
root.DianChang.d1.sensor59,FLOAT
root.DianChang.d1.sensor60,FLOAT
root.DianChang.d1.sensor61,FLOAT
root.DianChang.d1.sensor62,FLOAT
root.DianChang.d1.sensor63,FLOAT
root.DianChang.d1.sensor64,FLOAT
root.DianChang.d1.sensor65,FLOAT
root.DianChang.d1.sensor66,FLOAT
root.DianChang.d1.sensor67,FLOAT
root.DianChang.d1.sensor68,FLOAT
root.DianChang.d1.sensor69,FLOAT
root.DianChang.d1.sensor70,FLOAT
root.DianChang.d1.sensor71,FLOAT
root.DianChang.d1.sensor72,FLOAT
root.DianChang.d1.sensor73,FLOAT
root.DianChang.d1.sensor74,FLOAT
root.DianChang.d1.sensor75,FLOAT
root.DianChang.d1.sensor76,FLOAT
root.DianChang.d1.sensor77,FLOAT
root.DianChang.d1.sensor78,FLOAT
root.DianChang.d1.sensor79,FLOAT
root.DianChang.d1.sensor80,FLOAT
root.DianChang.d1.sensor81,FLOAT
root.DianChang.d1.sensor82,FLOAT
root.DianChang.d1.sensor83,FLOAT
root.DianChang.d1.sensor84,FLOAT
root.DianChang.d1.sensor85,FLOAT
root.DianChang.d1.sensor86,FLOAT
root.DianChang.d1.sensor87,FLOAT
root.DianChang.d1.sensor88,FLOAT
root.DianChang.d1.sensor89,FLOAT
root.DianChang.d1.sensor90,FLOAT
root.DianChang.d1.sensor91,FLOAT
root.DianChang.d1.sensor92,FLOAT
root.DianChang.d1.sensor93,FLOAT
root.DianChang.d1.sensor94,FLOAT
root.DianChang.d1.sensor95,FLOAT
root.DianChang.d1.sensor96,FLOAT
root.DianChang.d1.sensor97,FLOAT
root.DianChang.d1.sensor98,FLOAT
root.DianChang.d1.sensor99,FLOAT
root.DianChang.d1.sensor100,FLOAT
root.DianChang.d1.sensor101,FLOAT
root.DianChang.d1.sensor102,FLOAT
root.DianChang.d1.sensor103,FLOAT
root.DianChang.d1.sensor104,FLOAT
root.DianChang.d1.sensor105,FLOAT
root.DianChang.d1.sensor106,FLOAT
root.DianChang.d1.sensor107,FLOAT
root.DianChang.d1.sensor108,FLOAT
root.DianChang.d1.sensor109,FLOAT
root.DianChang.d1.sensor110,FLOAT
root.DianChang.d1.sensor111,FLOAT
root.DianChang.d1.sensor112,FLOAT
root.DianChang.d1.sensor113,FLOAT
root.DianChang.d1.sensor114,FLOAT
root.DianChang.d1.sensor115,FLOAT
root.DianChang.d1.sensor116,FLOAT
root.DianChang.d1.sensor117,FLOAT
root.DianChang.d1.sensor118,FLOAT
root.DianChang.d1.sensor119,FLOAT
root.DianChang.d1.sensor120,FLOAT
root.DianChang.d1.sensor121,FLOAT
root.DianChang.d1.sensor122,FLOAT
root.DianChang.d1.sensor123,FLOAT
root.DianChang.d1.sensor124,FLOAT
root.DianChang.d1.sensor125,FLOAT
root.DianChang.d1.sensor126,FLOAT
root.DianChang.d1.sensor127,FLOAT
root.DianChang.d1.sensor128,FLOAT
root.DianChang.d1.sensor129,FLOAT
root.DianChang.d1.sensor130,FLOAT
root.DianChang.d1.sensor131,FLOAT
root.DianChang.d1.sensor132,FLOAT
root.DianChang.d1.sensor133,FLOAT
root.DianChang.d1.sensor134,FLOAT
root.DianChang.d1.sensor135,FLOAT
root.DianChang.d1.sensor136,FLOAT
root.DianChang.d1.sensor137,FLOAT
root.DianChang.d1.sensor138,FLOAT
root.DianChang.d1.sensor139,FLOAT
root.DianChang.d1.sensor140,FLOAT
root.DianChang.d1.sensor141,FLOAT
root.DianChang.d1.sensor142,FLOAT
root.DianChang.d1.sensor143,FLOAT
root.DianChang.d1.sensor144,FLOAT
root.DianChang.d1.sensor145,FLOAT
root.DianChang.d1.sensor146,FLOAT
root.DianChang.d1.sensor147,FLOAT
root.DianChang.d1.sensor148,FLOAT
root.DianChang.d1.sensor149,FLOAT
root.DianChang.d1.sensor150,FLOAT
root.DianChang.d1.sensor151,FLOAT
root.DianChang.d1.sensor152,FLOAT
root.DianChang.d1.sensor153,FLOAT
root.DianChang.d1.sensor154,FLOAT
root.DianChang.d1.sensor155,FLOAT
root.DianChang.d1.sensor156,FLOAT
root.DianChang.d1.sensor157,FLOAT
root.DianChang.d1.sensor158,FLOAT
root.DianChang.d1.sensor159,FLOAT
root.DianChang.d1.sensor160,FLOAT
root.DianChang.d1.sensor161,FLOAT
root.DianChang.d1.sensor162,FLOAT
root.DianChang.d1.sensor163,FLOAT
root.DianChang.d1.sensor164,FLOAT
root.DianChang.d1.sensor165,FLOAT
root.DianChang.d1.sensor166,FLOAT
root.DianChang.d1.sensor167,FLOAT
root.DianChang.d1.sensor168,FLOAT
root.DianChang.d1.sensor169,FLOAT
root.DianChang.d1.sensor170,FLOAT
root.DianChang.d1.sensor171,FLOAT
root.DianChang.d1.sensor172,FLOAT
root.DianChang.d1.sensor173,FLOAT
root.DianChang.d1.sensor174,FLOAT
root.DianChang.d1.sensor175,FLOAT
root.DianChang.d1.sensor176,FLOAT
root.DianChang.d1.sensor177,FLOAT
root.DianChang.d1.sensor178,FLOAT
root.DianChang.d1.sensor179,FLOAT
root.DianChang.d1.sensor180,FLOAT
root.DianChang.d1.sensor181,FLOAT
root.DianChang.d1.sensor182,FLOAT
root.DianChang.d1.sensor183,FLOAT
root.DianChang.d1.sensor184,FLOAT
root.DianChang.d1.sensor185,FLOAT
root.DianChang.d1.sensor186,FLOAT
root.DianChang.d1.sensor187,FLOAT
root.DianChang.d1.sensor188,FLOAT
root.DianChang.d1.sensor189,FLOAT
root.DianChang.d1.sensor190,FLOAT
root.DianChang.d1.sensor191,FLOAT
root.DianChang.d1.sensor192,FLOAT
root.DianChang.d1.sensor193,FLOAT
root.DianChang.d1.sensor194,FLOAT
root.DianChang.d1.sensor195,FLOAT
root.DianChang.d1.sensor196,FLOAT
root.DianChang.d1.sensor197,FLOAT
root.DianChang.d1.sensor198,FLOAT
root.DianChang.d1.sensor199,FLOAT
root.DianChang.d1.sensor200,FLOAT
root.DianChang.d1.sensor201,FLOAT
root.DianChang.d1.sensor202,FLOAT
root.DianChang.d1.sensor203,FLOAT
root.DianChang.d1.sensor204,FLOAT
root.DianChang.d1.sensor205,FLOAT
root.DianChang.d1.sensor206,FLOAT
root.DianChang.d1.sensor207,FLOAT
root.DianChang.d1.sensor208,FLOAT
root.DianChang.d1.sensor209,FLOAT
root.DianChang.d1.sensor210,FLOAT
root.DianChang.d1.sensor211,FLOAT
root.DianChang.d1.sensor212,FLOAT
root.DianChang.d1.sensor213,FLOAT
root.DianChang.d1.sensor214,FLOAT
root.DianChang.d1.sensor215,FLOAT
root.DianChang.d1.sensor216,FLOAT
root.DianChang.d1.sensor217,FLOAT
root.DianChang.d1.sensor218,FLOAT
root.DianChang.d1.sensor219,FLOAT
root.DianChang.d1.sensor220,FLOAT
root.DianChang.d1.sensor221,FLOAT
root.DianChang.d1.sensor222,FLOAT
root.DianChang.d1.sensor223,FLOAT
root.DianChang.d1.sensor224,FLOAT
root.DianChang.d1.sensor225,FLOAT
root.DianChang.d1.sensor226,FLOAT
root.DianChang.d1.sensor227,FLOAT
root.DianChang.d1.sensor228,FLOAT
root.DianChang.d1.sensor229,FLOAT
root.DianChang.d1.sensor230,FLOAT
root.DianChang.d1.sensor231,FLOAT
root.DianChang.d1.sensor232,FLOAT
root.DianChang.d1.sensor233,FLOAT
root.DianChang.d1.sensor234,FLOAT
root.DianChang.d1.sensor235,FLOAT
root.DianChang.d1.sensor236,FLOAT
root.DianChang.d1.sensor237,FLOAT
root.DianChang.d1.sensor238,FLOAT
root.DianChang.d1.sensor239,FLOAT
root.DianChang.d1.sensor240,FLOAT
root.DianChang.d1.sensor241,FLOAT
root.DianChang.d1.sensor242,FLOAT
root.DianChang.d1.sensor243,FLOAT
root.DianChang.d1.sensor244,FLOAT
root.DianChang.d1.sensor245,FLOAT
root.DianChang.d1.sensor246,FLOAT
root.DianChang.d1.sensor247,FLOAT
root.DianChang.d1.sensor248,FLOAT
root.DianChang.d1.sensor249,FLOAT
root.DianChang.d1.sensor250,FLOAT
root.DianChang.d1.sensor251,FLOAT
root.DianChang.d1.sensor252,FLOAT
root.DianChang.d1.sensor253,FLOAT
root.DianChang.d1.sensor254,FLOAT
root.DianChang.d1.sensor255,FLOAT
root.DianChang.d1.sensor256,FLOAT
root.DianChang.d1.sensor257,FLOAT
root.DianChang.d1.sensor258,FLOAT
root.DianChang.d1.sensor259,FLOAT
root.DianChang.d1.sensor260,FLOAT
root.DianChang.d1.sensor261,FLOAT
root.DianChang.d1.sensor262,FLOAT
root.DianChang.d1.sensor263,FLOAT
root.DianChang.d1.sensor264,FLOAT
root.DianChang.d1.sensor265,FLOAT
root.DianChang.d1.sensor266,FLOAT
root.DianChang.d1.sensor267,FLOAT
root.DianChang.d1.sensor268,FLOAT
root.DianChang.d1.sensor269,FLOAT
root.DianChang.d1.sensor270,FLOAT
root.DianChang.d1.sensor271,FLOAT
root.DianChang.d1.sensor272,FLOAT
root.DianChang.d1.sensor273,FLOAT
root.DianChang.d1.sensor274,FLOAT
root.DianChang.d1.sensor275,FLOAT
root.DianChang.d1.sensor276,FLOAT
